Toronto — Average Rent by Bedroom Type by Neighbourhood
October 2011 Row / Apartment
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
Islington/City Centre North,**,,"1,340",d ,"1,452",c ,"1,280",a ,"1,381",c ,
Islington/City Centre South,739,a ,**,,"1,103",a ,**,,"1,050",a ,
Keelesdale-Eglinton West,851,b ,943,b ,974,b ,**,,965,b ,
Kennedy Park,**,,817,a ,936,a ,"1,098",a ,896,a ,
Kensington-Chinatown,912,b ,"1,033",b ,"1,293",c ,**,,"1,078",b ,
Kingsview Village-The Westway,854,b ,"1,026",a ,"1,199",a ,"1,398",a ,"1,189",a ,
Kingsway South,**,,947,b ,"1,184",a ,**,,"1,119",b ,
Lambton Baby Point,857,c ,871,b ,956,a ,**,,893,b ,
L'Amoreaux/Steeles/Milliken,**,,937,a ,"1,078",a ,"1,213",a ,"1,034",a ,
Lansing-Westgate,**,,"1,124",b ,"1,294",b ,"1,395",a ,"1,237",b ,
Lawrence Park North,828,a ,"1,016",a ,"1,152",a ,**,,"1,049",a ,
Lawrence Park South,838,a ,"1,039",b ,"1,249",c ,**,,"1,124",b ,
Leaside-Bennington,800,a ,975,a ,"1,302",a ,"1,781",c ,"1,086",a ,
Little Italy/Trinity-Bellwoods,721,b ,"1,025",d ,"1,436",c ,**,,"1,147",d ,
Long Branch,614,b ,795,b ,937,a ,**,,849,a ,
Malton,**,,834,a ,"1,026",a ,"1,077",a ,"1,004",a ,
Maple Leaf,706,b ,830,a ,954,a ,**,,913,a ,
Markham,**,,985,a ,"1,124",a ,"1,416",a ,"1,078",a ,
Meadowvale,**,,"1,123",a ,"1,243",a ,"1,414",a ,"1,234",a ,
Milton/Halton Hills,699,a ,909,a ,"1,050",a ,"1,285",a ,"1,004",a ,
Mimico,705,a ,840,a ,"1,011",a ,"1,399",c ,895,a ,
Mississauga Centre/Streetsville,734,a ,"1,009",a ,"1,133",a ,"1,371",a ,"1,135",a ,
Moore Park,926,a ,"1,268",a ,"1,756",b ,**,,"1,363",a ,
Morningside,**,,861,a ,958,a ,"1,114",a ,937,a ,
Moss Park/Regent Park,660,a ,933,b ,"1,165",b ,**,,906,a ,
Mount Dennis,**,,867,b ,"1,006",b ,**,,960,b ,
Mount Olive-Silverstone-Jamestown/Thistletown,**,,984,b ,"1,018",b ,"1,111",a ,"1,056",a ,
Mount Pleasant East,788,a ,"1,040",a ,"1,233",a ,"1,574",d ,"1,067",a ,
Mount Pleasant West,879,a ,"1,120",a ,"1,471",a ,"2,114",a ,"1,166",a ,
New Toronto,728,c ,798,b ,998,b ,**,,900,b ,
North St. James Town,807,a ,920,b ,"1,185",b ,**,,975,b ,
Oakridge,758,a ,892,a ,"1,105",b ,**,,943,a ,
Oakville (excl. Bronte),776,a ,983,a ,"1,169",a ,"1,344",a ,"1,128",a ,
Oakwood-Vaughan,665,a ,830,a ,963,b ,**,,832,a ,
O'Connor-Parkview,706,b ,844,b ,"1,008",b ,"1,369",b ,958,b ,
Old East York,710,b ,896,a ,"1,090",a ,**,,955,b ,
Orangeville/Mono,736,a ,861,a ,955,a ,"1,014",c ,911,a ,
Parkwoods-Donalda,753,a ,920,a ,"1,076",a ,"1,324",a ,"1,097",a ,
Playter Estates-Danforth,790,a ,"1,026",a ,"1,321",a ,**,,"1,065",a ,
Port Credit,723,a ,896,a ,"1,045",a ,"1,320",b ,982,a ,
Princess-Rosethorn,**,,**,,"1,236",b ,**,,"1,258",c ,
Rexdale-Kipling,955,a ,870,a ,"1,051",a ,"1,080",a ,"1,006",a ,
Richmond Hill/Vaughan/King,842,a ,"1,014",a ,"1,208",a ,"1,476",a ,"1,132",a ,
Riverdale,753,b ,790,c ,"1,017",d ,**,,893,c ,
Rockcliffe-Smythe,702,a ,842,a ,988,a ,"1,176",a ,913,a ,
Roncesvalles,**,,843,b ,"1,218",b ,**,,928,c ,
Rosedale,**,,"1,249",a ,"1,693",b ,**,,**,,
Rouge,**,,**,,"1,021",a ,"1,136",a ,"1,013",a ,
Rustic/Pelmo Park/Humberlea,**,,817,a ,926,b ,"1,171",c ,897,b ,
Scarborough Village,**,,835,a ,948,a ,"1,067",a ,940,a ,
Seaton Village,**,,**,,**,,**,,**,,
South Parkdale/King West,680,a ,874,a ,"1,076",a ,**,,861,a ,
St. Andrew-Windfields,705,a ,"1,030",a ,"1,203",a ,"1,568",a ,"1,238",a ,
Stonegate-Queensway,740,b ,860,a ,996,a ,**,,929,a ,
Tam O'Shanter-Sullivan,798,a ,927,a ,"1,060",a ,"1,257",a ,"1,029",a ,
The Beaches,723,a ,956,a ,"1,241",a ,**,,"1,053",a ,
Thorncliffe Park,806,a ,959,a ,"1,184",a ,"1,561",a ,"1,117",a ,
University/Annex,"1,037",a ,"1,307",a ,"1,765",a ,"2,711",d ,"1,366",a ,
Uxbridge,**,,**,,**,,**,,**,,
Victoria Village,727,b ,888,a ,"1,067",a ,"1,309",a ,979,a ,
Waterfront Communities-The Island,**,,"1,401",a ,"1,666",b ,**,,"1,496",a ,
West Hill,**,,838,a ,948,a ,"1,055",a ,946,a ,
West Humber-Clairville,**,,**,,"1,111",c ,**,,"1,099",b ,
Westminster-Branson,750,b ,959,a ,"1,172",a ,"1,340",a ,"1,142",a ,
Weston,700,a ,855,a ,"1,047",a ,"1,301",a ,941,a ,
Wexford-Maryvale,699,a ,833,a ,960,a ,"1,163",a ,897,a ,
Whitchurch/Stouffville,**,,929,a ,"1,001",a ,**,,970,a ,
Willowdale East/Newtonbrook East,"1,056",a ,"1,209",a ,"1,567",a ,"2,131",b ,"1,439",b ,
Willowdale West/Newtonbrook West,**,,981,a ,"1,186",a ,"1,336",a ,"1,109",a ,
Willowridge-Martingrove-Richview,**,,"1,048",b ,"1,375",b ,"1,572",b ,"1,361",b ,
Woburn,699,a ,871,a ,985,a ,"1,095",a ,965,a ,
Woodbine Corridor/Greenwood-Coxwell,764,d ,781,b ,**,,**,,823,b ,
Woodbine-Lumsden,753,b ,905,c ,**,,**,,903,c ,
Wychwood,696,b ,903,c ,**,,**,,928,c ,
Yonge-Eglinton,900,b ,"1,112",a ,"1,519",b ,**,,"1,165",a ,
Yonge-St.Clair,871,a ,"1,103",b ,"1,523",b ,"2,143",c ,"1,267",b ,
Yorkdale-Glen Park,**,,923,a ,"1,066",b ,"1,109",b ,"1,001",a ,
Toronto,819,a ,977,a ,"1,148",a ,"1,356",a ,"1,073",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
"CMA, CA and CSD definitions are based on 2011 Census Geography Definitions"
Source,CMHC Rental Market Survey
