Toronto — Housing Standards (% of Households in Core Housing Need)  
2016 Tenure - Total
,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,
Kensington-Chinatown,60.7,47.1,42.8,54.6,0.0,28.6,
Kingsview Village-The Westway,76.3,47.7,54.7,60.3,0.0,29.5,
Kingsway South,27.3,17.2,25.0,23.4,0.0,4.9,
Lambton Baby Point,67.2,44.9,53.6,56.2,0.0,17.3,
L'Amoreaux/Steeles/Milliken,74.6,45.7,42.2,61.9,0.0,28.7,
Lansing-Westgate,52.1,23.8,31.0,41.0,0.0,16.8,
Lawrence Park North,48.5,20.4,23.1,39.6,0.0,9.6,
Lawrence Park South,46.0,17.6,27.0,35.6,0.0,8.9,
Leaside-Bennington,58.2,21.9,37.3,46.2,0.0,11.8,
Little Italy/Trinity-Bellwoods,52.9,29.0,20.0,44.2,0.0,18.3,
Long Branch,70.0,35.6,46.0,56.2,0.0,24.1,
Malton,68.7,47.0,39.2,53.1,0.0,26.2,
Maple Leaf,74.4,50.0,39.6,54.7,0.0,24.1,
Markham,53.5,27.8,29.9,46.1,0.0,16.4,
Meadowvale,50.0,17.5,22.5,38.4,0.0,12.1,
Milton/Halton Hills,47.0,20.9,21.8,39.2,0.0,10.2,
Mimico,56.4,38.5,41.7,49.1,0.0,21.0,
Mississauga Centre/Streetsville,58.9,34.2,36.8,47.8,0.0,19.1,
Moore Park,43.4,17.6,32.4,35.0,0.0,12.0,
Morningside,74.8,53.4,53.6,60.8,0.0,30.3,
Moss Park/Regent Park,57.2,62.1,55.7,56.4,0.0,25.7,
Mount Dennis,80.1,48.1,53.0,63.7,0.0,36.0,
Mount Olive-Silverstone-Jamestown/Thistletown,78.7,57.9,48.7,60.2,0.0,34.3,
Mount Pleasant East,59.7,21.3,30.6,47.9,0.0,15.6,
Mount Pleasant West,58.8,37.8,35.1,49.6,0.0,21.9,
New Toronto,71.9,37.5,45.8,60.1,0.0,27.5,
North St. James Town,75.9,61.3,51.5,62.7,0.0,37.0,
Oakridge,84.6,65.9,66.7,73.1,0.0,44.9,
Oakville (excl. Bronte),47.9,21.9,29.9,41.0,0.0,10.5,
Oakwood-Vaughan,76.6,47.3,50.7,61.7,0.0,29.2,
O'Connor-Parkview,74.5,48.4,58.0,61.2,0.0,29.0,
Old East York,68.1,32.7,37.5,50.4,0.0,18.9,
Orangeville/Mono,56.9,30.6,24.2,48.1,0.0,13.8,
Parkwoods-Donalda,71.5,39.7,45.5,56.1,0.0,26.2,
Playter Estates-Danforth,67.0,27.2,36.1,55.1,0.0,21.0,
Port Credit,57.9,25.0,35.0,47.3,0.0,15.6,
Princess-Rosethorn,53.2,10.0,34.8,39.2,0.0,9.0,
Rexdale-Kipling,78.1,52.0,46.7,61.7,0.0,25.3,
Richmond Hill/Vaughan/King,47.3,21.8,25.5,41.2,0.0,13.7,
Riverdale,60.6,38.3,38.8,51.7,0.0,18.3,
Rockcliffe-Smythe,72.5,50.0,46.9,59.1,0.0,28.6,
Roncesvalles,65.3,44.8,53.4,54.9,0.0,24.5,
Rosedale,42.1,17.6,27.1,33.7,0.0,9.8,
Rouge,49.8,17.5,22.9,38.0,0.0,10.5,
Rustic/Pelmo Park/Humberlea,77.2,69.9,60.9,67.0,0.0,29.8,
Scarborough Village,80.9,65.3,65.0,69.5,0.0,40.1,
South Parkdale/King West,53.3,47.3,41.1,47.4,0.0,22.0,
St. Andrew-Windfields,52.9,27.9,30.8,43.8,0.0,15.1,
Stonegate-Queensway,66.0,30.5,38.9,51.9,0.0,17.3,
Tam O'Shanter-Sullivan,79.3,43.6,43.4,63.0,0.0,30.2,
The Beaches,53.8,19.6,36.4,42.9,0.0,14.1,
Thorncliffe Park,86.7,55.7,63.3,65.8,0.0,47.3,
University/Annex,48.2,36.8,29.1,43.0,0.0,17.8,
Uxbridge,56.9,32.9,24.0,48.3,0.0,12.0,
Victoria Village,80.5,55.8,51.2,67.4,0.0,31.8,
Waterfront Communities -The Island,33.9,32.3,21.5,30.1,0.0,12.1,
West Hill,75.1,60.4,51.9,64.4,0.0,29.4,
West Humber-Clairville,60.4,35.7,30.9,45.4,0.0,20.2,
Westminster-Branson,80.9,51.5,43.4,63.5,0.0,36.6,
Weston,83.5,52.6,57.2,68.5,0.0,38.2,
Wexford-Maryvale,74.2,42.9,47.9,60.2,0.0,25.1,
Whitchurch/Stouffville,44.0,20.3,24.1,39.1,0.0,10.9,
Willowdale East/Newtonbrook East,52.6,27.8,40.1,45.2,0.0,20.9,
Willowdale West/Newtonbrook West,63.8,35.5,39.4,52.5,0.0,26.0,
Willowridge-Martingrove-Richview,63.8,42.3,46.1,54.0,0.0,21.6,
Woburn,73.3,57.3,48.6,60.2,0.0,29.3,
Woodbine Corridor/Greenwood-Coxwell,65.0,40.5,44.7,53.6,0.0,20.9,
Woodbine-Lumsden,69.5,36.8,29.5,52.6,0.0,21.2,
Wychwood,65.8,35.7,41.2,56.0,0.0,23.0,
Yonge-Eglinton,54.6,26.7,33.3,44.8,0.0,15.9,
Yonge-St. Clair,52.4,21.0,41.8,42.4,0.0,16.2,
Yorkdale-Glen Park,65.2,40.3,36.2,51.6,0.0,20.6,
Toronto,58.7,37.3,39.1,49.1,0.0,19.1,

Notes
% of Households in Core Housing Need = Households in Core Housing Need / Households Tested for Core Housing Need
"Data include all non-farm, non-band, non-reserve private households reporting positive incomes and shelter cost-to-income ratios less than 100 per cent."
"A household is in core housing need if its housing does not meet one or more standards for housing adequacy (repair), suitability (crowding), or affordability and if it would have to spend 30 per cent or more of its before-tax income to pay the median rent (including utilities) of appropriately sized alternative local market housing. Adequate housing does not require any major repairs, according to residents. Suitable housing has enough bedrooms for the size and make-up of resident households. Affordable housing costs less than 30 per cent of before-tax household income."
"Affordable housing costs less than 30 per cent of before-tax household income. Includes households below more than one standard (in addition to the affordability standard). Accordingly, the sum of the number of households below each standard will be larger than the total number of households below standards."
"Adequate housing does not require any major repairs, according to residents. Includes households below more than one standard (in addition to the adequacy standard). Accordingly, the sum of the number of households below each standard will be larger than the total number of households below standards."
"Suitable housing has enough bedrooms for the size and make-up of resident households. Includes households below more than one standard (in addition to the suitability standard). Accordingly, the sum of the number of households below each standard will be larger than the total number of households below standards."
** no households
Source,CMHC (census-based and NHS-based housing indicators and data)
