Toronto — Housing Standards (% of Households in Core Housing Need)  
2011 Tenure - Total
,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,
Weston,72.2,46.8,44.4,57.2,0.0,31.4,
Wexford-Maryvale,66.5,40.4,32.8,47.1,0.0,19.2,
Whitchurch/Stouffville,42.0,12.4,13.3,34.7,0.0,9.8,
Willowdale East/Newtonbrook East,49.2,35.5,27.4,40.2,0.0,17.3,
Willowdale West/Newtonbrook West,66.9,43.2,33.5,54.0,0.0,24.5,
Willowridge-Martingrove-Richview,59.6,44.6,30.2,47.2,0.0,18.6,
Woburn,66.7,48.9,45.4,52.7,0.0,25.0,
Woodbine Corridor/Greenwood-Coxwell,57.2,26.6,33.0,43.3,0.0,16.0,
Woodbine-Lumsden,61.0,33.8,25.0,38.8,0.0,15.8,
Wychwood,63.6,27.5,42.0,49.4,0.0,20.6,
Yonge-Eglinton,45.3,10.5,26.5,36.6,0.0,13.0,
Yonge-St.Clair,42.4,28.1,20.4,32.9,0.0,12.3,
Yorkdale-Glen Park,63.8,38.1,51.0,52.8,0.0,22.9,
Toronto,54.9,34.1,33.0,43.6,0.0,16.9,

Notes
% of Households in Core Housing Need = Households in Core Housing Need / Households Tested for Core Housing Need
"Data include all non-farm, non-band, non-reserve private households reporting positive incomes and shelter cost-to-income ratios less than 100 per cent."
"A household is in core housing need if its housing does not meet one or more standards for housing adequacy (repair), suitability (crowding), or affordability and if it would have to spend 30 per cent or more of its before-tax income to pay the median rent (including utilities) of appropriately sized alternative local market housing. Adequate housing does not require any major repairs, according to residents. Suitable housing has enough bedrooms for the size and make-up of resident households. Affordable housing costs less than 30 per cent of before-tax household income."
"Affordable housing costs less than 30 per cent of before-tax household income. Includes households below more than one standard (in addition to the affordability standard). Accordingly, the sum of the number of households below each standard will be larger than the total number of households below standards."
"Adequate housing does not require any major repairs, according to residents. Includes households below more than one standard (in addition to the adequacy standard). Accordingly, the sum of the number of households below each standard will be larger than the total number of households below standards."
"Suitable housing has enough bedrooms for the size and make-up of resident households. Includes households below more than one standard (in addition to the suitability standard). Accordingly, the sum of the number of households below each standard will be larger than the total number of households below standards."
** no households
Source,CMHC (census-based and NHS-based housing indicators and data)
