ID,Neighbourhoods,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,ID_,Total_
"36",Cliffcrest,"63.3","50.0","45.5","52.8","0.0","17.9","36",17.9
"97",Danforth Village-East York,"58.9","32.6","39.3","43.4","0.0","16.1","97",16.1
"107",Don Valley Village/Pleasant View,"69.3","42.6","28.2","53.0","0.0","23.7","107",23.7
"33",Dorset Park,"70.0","31.3","43.0","48.3","0.0","24.4","33",24.4
"3",Dovercourt/Davenport/Junction,"63.9","35.9","28.6","47.5","0.0","22.2","3",22.2
"8",Downsview,"70.1","40.2","49.0","53.4","0.0","27.2","8",27.2
"105",Dufferin Grove/Little Portugal,"61.8","35.7","29.9","47.9","0.0","22.3","105",22.3
"94",East End-Danforth,"60.5","39.5","44.9","48.5","0.0","18.8","94",18.8
"146",Edenbridge-Humber Valley,"61.9","28.1","18.6","46.2","0.0","19.3","146",19.3
"25",Eglinton East,"77.7","49.0","59.5","61.5","0.0","34.3","25",34.3
"150",Elms-Old Rexdale,"62.0","44.7","54.1","50.5","0.0","25.9","150",25.9
"121",Englemount-Lawrence,"70.3","42.2","55.8","57.6","0.0","27.3","121",27.3
"144",Eringate-Centennial-West Deane,"57.1","40.2","21.1","46.3","0.0","14.5","144",14.5
"142",Etobicoke West Mall,"61.4","39.7","37.0","49.0","0.0","19.0","142",19.0
"109",Flemingdon Park,"74.2","49.1","46.7","56.0","0.0","32.9","109",32.9
"56",Forest Hill North,"61.2","39.0","25.4","45.5","0.0","19.8","56",19.8
"57",Forest Hill South,"43.7","36.0","12.7","33.8","0.0","10.5","57",10.5
"23",Guildwood,"56.0","40.0","11.1","44.3","0.0","11.7","23",11.7
"132",Henry Farm,"74.2","46.9","34.2","52.6","0.0","27.6","132",27.6
"100",High Park North/Junction,"49.2","26.2","31.8","38.2","0.0","15.5","100",15.5
"101",High Park-Swansea,"55.2","25.0","16.8","41.8","0.0","15.9","101",15.9
"147",Humber Heights-Westmount,"66.0","43.7","40.3","52.3","0.0","21.8","147",21.8
"53",Humewood-Cedarvale,"64.1","29.2","34.4","49.9","0.0","23.1","53",23.1
"34",Ionview,"77.2","46.3","39.5","57.7","0.0","31.6","34",31.6
"48",Islington/City Centre North,"58.4","37.7","33.6","44.9","0.0","18.3","48",18.3
"47",Islington/City Centre South,"42.4","19.1","18.9","34.2","0.0","11.1","47",11.1
"78",Keelesdale-Eglinton West,"65.9","28.5","28.6","47.8","0.0","23.9","78",23.9
"35",Kennedy Park,"71.0","50.0","55.6","59.6","0.0","29.6","35",29.6
"81",Kensington-Chinatown,"56.1","41.4","41.6","48.2","0.0","25.0","81",25.0
"149",Kingsview Village-The Westway,"77.5","48.3","32.5","57.5","0.0","29.0","149",29.0
"141",Kingsway South,"39.8","0.0","12.1","28.4","0.0","6.7","141",6.7
"74",Lambton Baby Point,"56.7","39.4","33.6","43.5","0.0","14.5","74",14.5
"16",L'Amoreaux/Steeles/Milliken,"69.8","38.5","37.7","53.2","0.0","24.6","16",24.6
"115",Lansing-Westgate,"47.6","44.5","25.3","37.7","0.0","15.8","115",15.8
"54",Lawrence Park North,"39.5","22.6","13.0","30.1","0.0","7.1","54",7.1
"55",Lawrence Park South,"37.3","8.5","13.8","26.0","0.0","7.5","55",7.5
"129",Leaside-Bennington,"53.3","35.8","24.2","42.1","0.0","11.2","129",11.2
"106",Little Italy/Trinity-Bellwoods,"52.7","25.1","28.7","41.2","0.0","18.5","106",18.5
"138",Long Branch,"67.6","29.2","32.9","50.7","0.0","22.4","138",22.4
"124",Maple Leaf,"80.0","44.3","41.1","56.5","0.0","24.9","124",24.9
"46",Mimico,"55.0","33.9","36.6","46.3","0.0","18.3","46",18.3
"27",Morningside,"70.9","44.2","58.9","56.5","0.0","30.5","27",30.5
"83",Moss Park/Regent Park,"60.2","48.9","61.5","55.3","0.0","25.2","83",25.2
"73",Mount Dennis,"69.3","48.2","35.2","55.0","0.0","32.9","73",32.9
"153",Mount Olive-Silverstone-Jamestown/Thistletown,"72.9","41.6","55.8","52.7","0.0","29.3","153",29.3
"59",Mount Pleasant East,"47.5","13.8","22.5","37.2","0.0","10.8","59",10.8
"139",New Toronto,"74.5","50.9","38.5","60.5","0.0","26.7","139",26.7
"82",North St. James Town,"73.1","47.2","66.8","58.9","0.0","33.7","82",33.7
"68",Oakridge,"84.6","60.2","60.8","66.9","0.0","40.0","68",40.0
"52",Oakwood-Vaughan,"67.8","35.8","25.2","49.2","0.0","23.9","52",23.9
"131",O'Connor-Parkview,"74.3","51.6","44.1","57.5","0.0","25.8","131",25.8
"98",Old East York,"66.7","22.6","24.1","45.4","0.0","15.9","98",15.9
"14",Parkwoods-Donalda,"67.8","49.2","32.1","52.1","0.0","23.2","14",23.2
"89",Playter Estates-Danforth,"54.7","35.0","33.1","46.0","0.0","16.9","89",16.9
"145",Princess-Rosethorn,"41.3","34.3","0.0","34.3","0.0","8.0","145",8.0
"151",Rexdale-Kipling,"70.0","24.7","58.5","54.1","0.0","23.8","151",23.8
"86",Riverdale,"54.6","35.4","33.9","45.0","0.0","17.4","86",17.4
"77",Rockcliffe-Smythe,"66.1","40.4","32.6","48.7","0.0","22.9","77",22.9
"102",Roncesvalles,"65.6","38.2","38.4","48.9","0.0","22.0","102",22.0
"60",Rosedale,"29.6","16.7","0.0","24.3","0.0","8.0","60",8.0
"125",Rustic/Pelmo Park/Humberlea,"71.5","47.5","52.7","55.8","0.0","24.1","125",24.1
"24",Scarborough Village,"80.7","55.3","58.0","64.4","0.0","36.6","24",36.6
"103",South Parkdale/King West,"55.2","41.5","37.6","46.2","0.0","22.1","103",22.1
"113",St. Andrew-Windfields,"51.5","39.6","18.4","43.0","0.0","13.9","113",13.9
"140",Stonegate-Queensway,"58.6","25.5","25.7","44.2","0.0","14.6","140",14.6
"71",Tam O'Shanter-Sullivan,"77.5","50.0","41.2","61.0","0.0","29.4","71",29.4
"93",The Beaches,"44.7","19.5","14.9","33.0","0.0","10.2","93",10.2
"130",Thorncliffe Park,"82.6","58.9","53.5","63.7","0.0","45.0","130",45.0
"80",University/Annex,"44.7","24.7","30.7","37.6","0.0","15.8","80",15.8
"110",Victoria Village,"72.1","42.4","55.1","56.1","0.0","26.2","110",26.2
"40",Waterfront Communities-The Island,"32.0","19.1","16.0","27.6","0.0","11.6","40",11.6
"26",West Hill,"69.6","51.4","61.6","59.2","0.0","24.7","26",24.7
"154",West Humber-Clairville,"52.2","24.9","21.5","36.6","0.0","16.5","154",16.5
"118",Westminster-Branson,"72.5","40.8","46.4","55.6","0.0","32.7","118",32.7
"75",Weston,"72.2","46.8","44.4","57.2","0.0","31.4","75",31.4
"70",Wexford-Maryvale,"66.5","40.4","32.8","47.1","0.0","19.2","70",19.2
"134",Willowdale East/Newtonbrook East,"49.2","35.5","27.4","40.2","0.0","17.3","134",17.3
"116",Willowdale West/Newtonbrook West,"66.9","43.2","33.5","54.0","0.0","24.5","116",24.5
"148",Willowridge-Martingrove-Richview,"59.6","44.6","30.2","47.2","0.0","18.6","148",18.6
"21",Woburn,"66.7","48.9","45.4","52.7","0.0","25.0","21",25.0
"92",Woodbine Corridor/Greenwood-Coxwell,"57.2","26.6","33.0","43.3","0.0","16.0","92",16.0
"96",Woodbine-Lumsden,"61.0","33.8","25.0","38.8","0.0","15.8","96",15.8
"64",Wychwood,"63.6","27.5","42.0","49.4","0.0","20.6","64",20.6
"58",Yonge-Eglinton,"45.3","10.5","26.5","36.6","0.0","13.0","58",13.0
"61",Yonge-St.Clair,"42.4","28.1","20.4","32.9","0.0","12.3","61",12.3
"122",Yorkdale-Glen Park,"63.8","38.1","51.0","52.8","0.0","22.9","122",22.9
"38",Toronto,"54.9","34.1","33.0","43.6","0.0","16.9","38",16.9
"17",Agincourt/Malvern,"64.1","36.5","33.7","49.2","0.0","23.1","17",23.1
"18",Agincourt/Malvern,"64.1","36.5","33.7","49.2","0.0","23.1","18",23.1
"136",Bayview Woods-Steeles/Hillcrest Village,"53.4","39.2","19.3","44.2","0.0","16.7","136",16.7
"90",Danforth Village-East York,"58.9","32.6","39.3","43.4","0.0","16.1","90",16.1
"108",Don Valley Village/Pleasant View,"69.3","42.6","28.2","53.0","0.0","23.7","108",23.7
"67",Dovercourt/Davenport/Junction,"63.9","35.9","28.6","47.5","0.0","22.2","67",22.2
"104",Dufferin Grove/Little Portugal,"61.8","35.7","29.9","47.9","0.0","22.3","104",22.3
"72",L'Amoreaux/Steeles/Milliken,"69.8","38.5","37.7","53.2","0.0","24.6","72",24.6
"30",L'Amoreaux/Steeles/Milliken,"69.8","38.5","37.7","53.2","0.0","24.6","30",24.6
"79",Little Italy/Trinity-Bellwoods,"52.7","25.1","28.7","41.2","0.0","18.5","79",18.5
"84",Moss Park/Regent Park,"60.2","48.9","61.5","55.3","0.0","25.2","84",25.2
"152",Mount Olive-Silverstone-Jamestown/Thistletown,"72.9","41.6","55.8","52.7","0.0","29.3","152",29.3
"90",Playter Estates-Danforth,"54.7","35.0","33.1","46.0","0.0","16.9","90",16.9
"88",Riverdale,"54.6","35.4","33.9","45.0","0.0","17.4","88",17.4
"156",Rustic/Pelmo Park/Humberlea,"71.5","47.5","52.7","55.8","0.0","24.1","156",24.1
"63",University/Annex,"44.7","24.7","30.7","37.6","0.0","15.8","63",15.8
"117",Willowdale West/Newtonbrook West,"66.9","43.2","33.5","54.0","0.0","24.5","117",24.5
"91",Woodbine Corridor/Greenwood-Coxwell,"57.2","26.6","33.0","43.3","0.0","16.0","91",16.0
